assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Simple Dimple skins.army,76561199433997570,False,False,29.674505,15,106,0,True,head,True,False,0,0,False,119260,zig,76561198274174345,ak47,17293822569102704647,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,19.045326,15,108,0,True,head,True,False,0,0,False,119324,frees.tyler,76561198002613044,ak47,17293822569102704647,0,,0
False,frees.tyler,76561198002613044,Worfy,76561199052717313,False,False,27.020443,17,81,0,True,head,True,False,0,0,False,119824,shawty#)$@,76561199557907229,m4a1_silencer,17293822569102704700,0,,0
False,Moon,76561198049602148,Worfy,76561199052717313,False,False,37.862366,16,76,0,True,head,True,False,0,0,False,119891,prosto bo$$,76561199068251294,m4a1_silencer,17293822569102704700,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,24.205242,4,33,0,False,stomach,True,False,0,0,False,120633,Faat,76561198171814417,ak47,17293822569102704647,0,,0
False,,,Moon,76561198049602148,False,False,12.953014,6,20,0,False,stomach,True,False,0,0,False,122217,RME | Пацан,76561199826895670,mp7,17293822569193537569,50785472842,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,26.353716,0,138,0,True,head,True,False,0,0,False,122741,Worfy,76561199052717313,ak47,17293822569102704647,0,,0
False,Worfy,76561199052717313,Moon,76561198049602148,False,False,24.55616,3,26,0,False,chest,True,False,0,0,False,122791,Simple Dimple skins.army,76561199433997570,ak47,17293822569196093447,51334615412,,0
False,,,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,28.068272,4,33,0,False,stomach,True,False,0,0,False,123446,Moon,76561198049602148,ak47,17293822569102704647,0,,0
False,RME | Пацан,76561199826895670,shawty#)$@,76561199557907229,False,False,4.849865,0,30,0,True,head,True,False,0,0,False,125462,Simple Dimple skins.army,76561199433997570,nova,17293822569102704675,0,,0
False,,,shawty#)$@,76561199557907229,False,False,0.0,17,81,0,False,-1,True,False,0,0,False,125462,shawty#)$@,76561199557907229,world,,,,0
False,,,prosto bo$$,76561199068251294,False,False,10.276633,1,111,0,False,chest,True,False,0,0,False,126574,Moon,76561198049602148,awp,17293822569179381769,48893977021,,0
False,,,frees.tyler,76561198002613044,False,False,11.414795,4,13,0,False,chest,True,False,0,0,False,127004,Wybaczam.oficjalnie skins.army,76561199256543526,mp9,17293822569190588450,50627861473,,0
False,,,Worfy,76561199052717313,False,False,37.871735,5,27,0,False,stomach,True,False,0,0,False,127871,RME | Пацан,76561199826895670,m4a1_silencer,17293822569102704700,0,,0
False,Moon,76561198049602148,zig,76561198274174345,False,False,21.617603,2,12,0,False,chest,True,False,1,0,False,128558,prosto bo$$,76561199068251294,m4a1_silencer,17293822569176760380,50969993449,,0
False,,,Faat,76561198171814417,False,False,26.895834,1,137,0,False,stomach,True,False,0,0,False,131434,RME | Пацан,76561199826895670,awp,17293822569179381769,48893977021,,0
False,Wybaczam.oficjalnie skins.army,76561199256543526,Simple Dimple skins.army,76561199433997570,False,False,12.982991,3,27,0,False,chest,True,False,0,0,False,131755,Faat,76561198171814417,ak47,17293822569102704647,0,,0
False,,,prosto bo$$,76561199068251294,False,False,17.965364,3,14,0,False,right_arm,True,False,0,0,False,131938,Worfy,76561199052717313,p90,17293822569102704659,0,,0
